iata_code,icao_code,airport_name,alt_name,other_codes
BAF,KBAF,Westfield-Barnes Regional Airport,,
SFY,,metropolitan area4,,
BKQ,YBCK,Blackall Airport,,
TZA,MZBZ,Belize City Municipal Airport,,
KNT,KTKX,Kennett Memorial Airport,,FAA: TKX
KIU,,Kiunga Airport,,
CJA,SPJR,Mayor General FAP Armando Revoredo Iglesias Airport,,
IJK,USII,Izhevsk Airport,,
XBE,,Bearskin Lake Airport,,TC: CNE3
TMW,YSTW,Tamworth Airport,,
MNA,WAMN,Melangguane Airport,,
PTO,SSPB,Juvenal Loureiro Cardoso Airport,,
IDK,YIDK,Indulkana Airport,,
XLB,CZWH,Lac Brochet Airport,,
ULH,OEAO,Prince Abdul Majeed bin Abdulaziz Domestic Airport,,
BVF,NFNU,Dama Airport,,
MFX,LFKX,Méribel Altiport,,
ITO,PHTO,Hilo International Airport,,
KMU,HCMK,Kismayo Airport,Kisimayu Airport,
HMJ,UKLH,Khmelnytskyi Airport,,
SNT,SKRU,Las Cruces Airport,,
HBX,VAHB,Hubli Airport,,
NNR,EICA,Connemara Airport,,
KNQ,NWWD,Koné Airport,,
MGE,KMGE,Dobbins Air Reserve Base,,
BJK,WAPK,Benjina Airport,Nangasuri Airport,
ZGL,YSGW,South Galway Airport,,
DNZ,LTAY,Denizli Çardak Airport,,
BRD,KBRD,Brainerd Lakes Regional Airport,,
TIU,NZTU,Richard Pearse Airport,,
PLX,UASS,Semey Airport,,
LMZ,,Palma Airport,,
TPI,AYTI,Tapini Airport,,
TIM,WABP,Mozes Kilangin Airport,,
BZN,KBZN,Bozeman Yellowstone International Airport,Gallatin Field,
SMF,KSMF,Sacramento International Airport,,
BWN,WBSB,Brunei International Airport,,
DAM,OSDI,Damascus International Airport,,
FYU,PFYU,Fort Yukon Airport,,
AUG,KAUG,Augusta State Airport,,
YGN,,Greenway Sound Water Aerodrome,,
YCL,CYCL,Charlo Airport,,
TUK,OPTU,Turbat International Airport,,
BJU,VNBR,Bajura Airport,,
LGT,SKGA,Las Gaviotas Airport,,
RMK,YREN,Renmark Airport,,
DSO,ZKSD,Sondok Airport,,
QLR,LPMR,Monte Real Air Base,,
BKM,WBGQ,Bakelalan Airport,,
COQ,ZMCD,Choibalsan Airport,,
KHX,,Kihihi Airstrip,,
WWI,YWWI,Woodie Woodie Airport,,
CGI,KCGI,Cape Girardeau Regional Airport,,
YDA,CYDA,Dawson City Airport,,
DUS,EDDL,Düsseldorf Airport,,
FEZ,GMFF,Fes–Saïss Airport,,
MGP,,Manga Airport,,
ZIZ,,Zamzama Airport,,
KNK,PFKK,Kokhanok Airport,,FAA: 9K2
FEA,,Fetlar Airport,,
ASM,HHAS,Asmara International Airport,,
NOI,,Novorossiysk Airport,,
DMN,KDMN,Deming Municipal Airport,,
LSU,WBGU,Long Sukang Airport,,
FWL,PAFW,Farewell Airport,,
CIN,KCIN,Arthur N. Neu Airport,,
RTG,WATG,Frans Sales Lega Airport,,
OSL,ENGM,"Oslo Airport, Gardermoen",,
DTT,,metropolitan area1,,
YCD,CYCD,Nanaimo Airport,,
PIA,KPIA,General Wayne A. Downing Peoria International Airport,,
MCT,OOMS,Muscat International Airport,,
CQM,LERL,Ciudad Real Central Airport,,
NLH,,Ninglang Luguhu Airport,,
ALO,KALO,Waterloo Regional Airport,,
MXN,LFRU,Morlaix – Ploujean Airport,,
PHY,VTPB,Phetchabun Airport,,
BTT,PABT,Bettles Airport,,
GAY,VEGY,Gaya Airport,Bodhgaya Airport,
MUD,FQMD,Mueda Airport,,
UYU,SLUY,Uyuni Airport,Joya Andina Airport,
DTU,,Wudalianchi Airport,,
EUE,,Eureka Airport,,FAA: 05U
UNT,,Unst Airport,,
MJX,KMJX,Robert J. Miller Air Park,Ocean County Airport,
